t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,b1_hat,b2_hat,b3_hat,b4_hat
0.620000,0.293445,0.139360,0.607649,0.097720,0.269523,0.629781,-3.161404,4.800000,0.378412,0.076847,0.687761,1.242315,0.514727,0.452658,0.500314,0.464078,-0.670037,0.489687,-4.462836,-24.278957,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000037,1.021034,1.011674,0.500000,0.142134,0.000335,0.200000,0.200000
0.630000,0.289100,0.133293,0.591648,0.145720,-0.937734,-1.609547,-0.345367,4.800000,0.383537,0.081339,0.692735,1.246899,0.510309,0.445692,0.494481,0.452828,-1.920227,-1.795472,-1.850718,-23.182322,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000037,1.021104,1.011130,0.500000,0.154724,0.000000,0.200000,0.200000
0.640000,0.289100,0.133293,0.591648,0.145720,-0.937734,-1.609547,-0.345367,4.800000,0.388618,0.085761,0.697650,1.251371,0.505838,0.438661,0.488576,0.441468,-1.941161,-1.810550,-1.893967,-23.282752,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000038,1.021005,1.009796,0.500000,0.192457,0.006676,0.200000,0.200000
0.650000,0.286636,0.104973,0.603356,0.193720,0.320711,-3.842088,2.408086,4.800000,0.393653,0.090112,0.702506,1.255728,0.501318,0.431567,0.482600,0.430002,-0.715696,-4.199350,0.933986,-22.180221,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000039,1.020904,1.008440,0.500000,0.200000,0.013955,0.200000,0.200000
0.660000,0.296789,0.070635,0.622480,0.241720,1.428776,-3.128220,1.548158,4.800000,0.398644,0.094392,0.707302,1.259971,0.496747,0.424411,0.476554,0.418432,0.422757,-3.671417,0.223385,-21.074708,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000039,1.021066,1.006993,0.500000,0.200000,0.043960,0.172464,0.200000
0.670000,0.296789,0.070635,0.622480,0.241720,1.428776,-3.128220,1.548158,4.800000,0.403588,0.098600,0.712037,1.264097,0.492127,0.417196,0.470438,0.406763,0.402654,-3.685242,0.182150,-21.166190,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000039,1.021189,1.005498,0.500000,0.191494,0.083846,0.166546,0.200000
0.680000,0.315667,0.055750,0.618829,0.289720,2.229979,-0.143973,-1.936307,4.800000,0.408486,0.102736,0.716711,1.268105,0.487460,0.409924,0.464255,0.394996,1.278423,-0.788823,-3.379376,-20.054645,-1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000039,1.021312,1.003977,0.500000,0.183231,0.124902,0.161569,0.200000
0.690000,0.327430,0.069253,0.582158,0.337720,0.369153,2.324469,-4.800000,4.800000,0.413337,0.106798,0.721322,1.271996,0.482745,0.402597,0.458004,0.383135,-0.543126,1.734147,-6.649648,-18.940053,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000040,1.021261,1.002810,0.500000,0.158901,0.135075,0.200000,0.200000
0.700000,0.327430,0.069253,0.582158,0.337720,0.369153,2.324469,-4.800000,4.800000,0.418141,0.110787,0.725871,1.275768,0.477983,0.395217,0.451686,0.371184,-0.562383,1.721582,-6.688816,-19.022393,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000040,1.021545,1.002744,0.500000,0.168810,0.114601,0.200000,0.200000
0.710000,0.322401,0.086845,0.541274,0.385720,-1.058032,1.408718,-3.675062,4.800000,0.422897,0.114702,0.730356,1.279420,0.473177,0.387785,0.445304,0.359145,-2.033686,0.881645,-6.011180,-17.901647,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000040,1.021828,1.002664,0.500000,0.179288,0.093842,0.200000,0.200000
